ID,SOP_Type,SOP_Number,Item_Number,Item_Description,QTY,UOfM,Extended_Cost,Extended_Price,Unit_Cost,Unit_Price,Customer_Number,Document_Date,Requested_Ship_Date,Item_Class,Document_Status,Last Payment_Amount,SalespersonID,Posting_Status,Total_SalesYTD,Revenue,Margin,LostOnSale,MarginBucket,ActualSales,RequestedMonth,RequestedYear
INV05604_L-4826,Invoice,INV05604,L-4826,Nat Mango Biche Lemon Fl,124.64,KG,716.68,1018.31,5.75,8.17,CASA BRUJA,44272,44272,FLAVOR,Posted,3817.32,RHENRIQUEZ,Posted,8960.39,301.63,0.29620646,Normal Revenue,Between 30% and 30%,1018.31,3,2021
INV05604_L-4827,Invoice,INV05604,L-4827,Nat Blueberry Watermelon Rosemary Fl,124.16,KG,711.44,1014.39,5.73,8.17,CASA BRUJA,44272,44272,FLAVOR,Posted,3817.32,RHENRIQUEZ,Posted,8960.39,302.95,0.298652392,Normal Revenue,Between 30% and 30%,1014.39,3,2021
INV05604_L-4806,Invoice,INV05604,L-4806,Nat Rasp-Lemon-Basil Fl,122.24,KG,699.21,992.59,5.72,8.12,CASA BRUJA,44272,44272,FLAVOR,Posted,3817.32,RHENRIQUEZ,Posted,8960.39,293.38,0.295570175,Normal Revenue,Between 30% and 30%,992.59,3,2021
INV05605_I-210001A,Invoice,INV05605,I-210001A,Potassium Sorbate Granular,25,KG,116.25,149.5,4.65,5.98,CASA BRUJA,44272,44272,RE-SALE,Posted,3817.32,RHENRIQUEZ,Posted,8960.39,33.25,0.222408027,Normal Revenue,Between 30% and 30%,149.5,3,2021
INV05605_I-030010A,Invoice,INV05605,I-030010A,Citric Acid Anhydrous,25,KG,33.75,36.5,1.35,1.46,CASA BRUJA,44272,44272,RE-SALE,Posted,3817.32,RHENRIQUEZ,Posted,8960.39,2.75,0.075342466,Normal Revenue,Between 0% and 10%,36.5,3,2021
INV05605_I-210006A,Invoice,INV05605,I-210006A,Sodium Citrate,25,KG,30.25,37.75,1.21,1.51,CASA BRUJA,44272,44272,RE-SALE,Posted,3817.32,RHENRIQUEZ,Posted,8960.39,7.5,0.198675497,Normal Revenue,Between 10% and 20%,37.75,3,2021
INV05605_L-4826,Invoice,INV05605,L-4826,Nat Mango Biche Lemon Fl,46.74,KG,268.76,381.87,5.75,8.17,CASA BRUJA,44272,44272,FLAVOR,Posted,3817.32,RHENRIQUEZ,Posted,8960.39,113.11,0.296200278,Normal Revenue,Between 30% and 30%,381.87,3,2021
INV05605_L-4827,Invoice,INV05605,L-4827,Nat Blueberry Watermelon Rosemary Fl,46.56,KG,266.79,380.4,5.73,8.17,CASA BRUJA,44272,44272,FLAVOR,Posted,3817.32,RHENRIQUEZ,Posted,8960.39,113.61,0.298659306,Normal Revenue,Between 30% and 30%,380.4,3,2021
INV05605_L-4806,Invoice,INV05605,L-4806,Nat Rasp-Lemon-Basil Fl,45.72,KG,261.52,371.25,5.72,8.12,CASA BRUJA,44272,44272,FLAVOR,Posted,3817.32,RHENRIQUEZ,Posted,8960.39,109.73,0.295569024,Normal Revenue,Between 30% and 30%,371.25,3,2021
INV05629_B-1266,Invoice,INV05629,B-1266,NAT Orange WONF FL Juice Base,2000,GAL,27335.68,29120,13.67,14.56,BONLAC,44273,44273,FJB,Posted,320188.32,LSANTIAGO,Posted,8464367.53,1784.32,0.061274725,Normal Revenue,Between 0% and 10%,29120,3,2021
